Type;Instruction;Param Variant;Opcodes;Internal;Mnemonic;Param1;Param2;Param3;;Addressing mode 1;Addressing mode 2;Addressing mode 3;;;Bytes;Exec Variant;M Cycles;T States;Condition;M1;M2;M3;M4;M5;M6;Stack;M1 comment;;Instruction Group;Undocumented;User manual page;Operation;Description;Condition Bits Affected;Example
instr;1;0;1;0;ADC;A;n;;;Register;Immediate;;;;2;0;2;7 (4, 3);;OCF(4);OD(3);;;;;;;;8-Bit Arithmetic;0;146;A <- A + s + CY;"This s operand is any of r, n, (HL), (IX+d), or (lY+d) as defined for the
analogous ADD instruction.
The s operand, along with the Carry Flag (C in the F register) is added to the
contents of the Accumulator, and the result is stored in the Accumulator.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set if carry from bit 3, reset otherwise
P/V is set if overflow, reset otherwise
N is reset
C is set if carry from bit 7: reset otherwise";"If the Accumulator contents are 16H, the Carry Flag is set, the HL register
pair contains 6666H, and address 6666H contains 10H, at execution of
ADC A, (HL) the Accumulator contains 27H."
instr;2;0;7;0;ADC;A;A,B,C,D,E,H,L;;;Register;Register;;;;1;0;1;4;;OCF(4);;;;;;;;;8-Bit Arithmetic;0;146;A <- A + s + CY;"This s operand is any of r, n, (HL), (IX+d), or (lY+d) as defined for the
analogous ADD instruction.
The s operand, along with the Carry Flag (C in the F register) is added to the
contents of the Accumulator, and the result is stored in the Accumulator.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set if carry from bit 3, reset otherwise
P/V is set if overflow, reset otherwise
N is reset
C is set if carry from bit 7: reset otherwise";"If the Accumulator contents are 16H, the Carry Flag is set, the HL register
pair contains 6666H, and address 6666H contains 10H, at execution of
ADC A, (HL) the Accumulator contains 27H."
instr;2;1;4;0;ADC;A;IXh,IXl,IYh,IYl;;;Register;Register;;;;2;0;2;8 (4, 4);;OCF(4);OCF(4);;;;;;;;8-Bit Arithmetic;1;;A <- A + s + CY;"This s operand is any of r, n, (HL), (IX+d), or (lY+d) as defined for the
analogous ADD instruction.
The s operand, along with the Carry Flag (C in the F register) is added to the
contents of the Accumulator, and the result is stored in the Accumulator.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set if carry from bit 3, reset otherwise
P/V is set if overflow, reset otherwise
N is reset
C is set if carry from bit 7: reset otherwise";"If the Accumulator contents are 16H, the Carry Flag is set, the HL register
pair contains 6666H, and address 6666H contains 10H, at execution of
ADC A, (HL) the Accumulator contains 27H."
instr;3;0;1;0;ADC;A;(HL);;;Register;Register Indirect;;;;1;0;2;7 (4, 3);;OCF(4);MR(3);;;;;;;;8-Bit Arithmetic;0;146;A <- A + s + CY;"This s operand is any of r, n, (HL), (IX+d), or (lY+d) as defined for the
analogous ADD instruction.
The s operand, along with the Carry Flag (C in the F register) is added to the
contents of the Accumulator, and the result is stored in the Accumulator.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set if carry from bit 3, reset otherwise
P/V is set if overflow, reset otherwise
N is reset
C is set if carry from bit 7: reset otherwise";"If the Accumulator contents are 16H, the Carry Flag is set, the HL register
pair contains 6666H, and address 6666H contains 10H, at execution of
ADC A, (HL) the Accumulator contains 27H."
instr;4;0;2;0;ADC;A;(IX+d),(IY+d);;;Register;Indexed;;;;3;0;5;19 (4, 4, 3, 5, 3);;OCF(4);OCF(4);OD(3);CPU(5);MR(3);;;;;8-Bit Arithmetic;0;146;A <- A + s + CY;"This s operand is any of r, n, (HL), (IX+d), or (lY+d) as defined for the
analogous ADD instruction.
The s operand, along with the Carry Flag (C in the F register) is added to the
contents of the Accumulator, and the result is stored in the Accumulator.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set if carry from bit 3, reset otherwise
P/V is set if overflow, reset otherwise
N is reset
C is set if carry from bit 7: reset otherwise";"If the Accumulator contents are 16H, the Carry Flag is set, the HL register
pair contains 6666H, and address 6666H contains 10H, at execution of
ADC A, (HL) the Accumulator contains 27H."
instr;5;0;4;0;ADC;HL;BC,DE,HL,SP;;;Register Ext;Register Ext;;;;2;0;4;15 (4, 4, 4, 3);;OCF(4);OCF(4);CPU(4);CPU(3);;;;;;16-Bit Arithmetic;0;180;HL <- HL + ss + CY;"The contents of register pair ss (any of register pairs BC, DE, HL, or SP)
are added with the Carry flag (C flag in the F register) to the contents of
register pair HL, and the result is stored in HL.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
R is set if carry out of bit 11,. reset otherwise
P/V is set if overflow, reset otherwise
N is reset
C is set if carry from bit 15, reset otherwise";"If the register pair BC contains 2222H, register pair HL contains 5437H,
and the Carry Flag is set, at execution of ADC HL, BC the contents of
HL are 765AH."
instr;6;0;1;0;ADD;A;n;;;Register;Immediate;;;;2;0;2;7 (4, 3);;OCF(4);OD(3);;;;;;;;8-Bit Arithmetic;0;142;A <- A + n;"The integer n is added to the contents of the Accumulator, and the results
are stored in the Accumulator.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set if carry from bit 3, reset otherwise
P/V is set if overflow, reset otherwise
N is reset
C is set if carry from bit 7, reset otherwise";"If the contents of the Accumulator are 23H, at execution of ADD A, 33H
the contents of the Accumulator are 56H."
instr;7;0;7;0;ADD;A;A,B,C,D,E,H,L;;;Register;Register;;;;1;0;1;4;;OCF(4);;;;;;;;;8-Bit Arithmetic;0;140;A <- A + r;"The contents of register r are added to the contents of the Accumulator, and
the result is stored in the Accumulator. The symbol r identifies the registers
A, B, C, D, E, H, or L.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set if carry from bit 3, reset otherwise
P/V is set if overflow, reset otherwise
N is reset
C is set if carry from bit 7, reset otherwise";"If the contents of the Accumulator are 44H, and the contents of register C
are 11H, at execution of ADD A,C the contents of the Accumulator are
55H."
instr;7;1;4;0;ADD;A;IXh,IXl,IYh,IYl;;;Register;Register;;;;2;0;2;8 (4, 4);;OCF(4);OCF(4);;;;;;;;8-Bit Arithmetic;1;;A <- A + r;"The contents of register r are added to the contents of the Accumulator, and
the result is stored in the Accumulator. The symbol r identifies the registers
A, B, C, D, E, H, or L.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set if carry from bit 3, reset otherwise
P/V is set if overflow, reset otherwise
N is reset
C is set if carry from bit 7, reset otherwise";"If the contents of the Accumulator are 44H, and the contents of register C
are 11H, at execution of ADD A,C the contents of the Accumulator are
55H."
instr;8;0;1;0;ADD;A;(HL);;;Register;Register Indirect;;;;1;0;2;7 (4, 3);;OCF(4);MR(3);;;;;;;;8-Bit Arithmetic;0;143;A <- A + (HL);"The byte at the memory address specified by the contents of the HL register
pair is added to the contents of the Accumulator, and the result is stored in
the Accumulator.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set if carry from bit 3, reset otherwise
P/V is set if overflow, reset otherwise
N is reset
C is set if carry from bit 7, reset otherwise";"If the contents of the Accumulator are A0H, and the content of the register
pair HL is 2323H, and memory location 2323H contains byte 08H, at
execution of ADD A, (HL) the Accumulator contains A8H."
