prefix;opcode;opcode bytes;operand bytes;undocumented;fetch more opcode bytes;switch to table;mnemonic;instruction;param variant;param 1;param 2;param 3;duplicate
;0x00;1;0;0;0;;NOP;78;0;;;;
;0x01;1;2;0;0;;LD BC,nn;64;0;BC;nn;;
;0x02;1;0;0;0;;LD (BC),A;70;1;(BC);A;;
;0x03;1;0;0;0;;INC BC;49;0;BC;;;
;0x04;1;0;0;0;;INC B;46;0;B;;;
;0x05;1;0;0;0;;DEC B;31;0;B;;;
;0x06;1;1;0;0;;LD B,n;59;0;B;n;;
;0x07;1;0;0;0;;RLCA;109;0;;;;
;0x08;1;0;0;0;;EX AF,AF';38;0;AF;AF';;
;0x09;1;0;0;0;;ADD HL,BC;10;0;HL;BC;;
;0x0A;1;0;0;0;;LD A,(BC);62;1;A;(BC);;
;0x0B;1;0;0;0;;DEC BC;34;0;BC;;;
;0x0C;1;0;0;0;;INC C;46;0;C;;;
;0x0D;1;0;0;0;;DEC C;31;0;C;;;
;0x0E;1;1;0;0;;LD C,n;59;0;C;n;;
;0x0F;1;0;0;0;;RRCA;120;0;;;;
;0x10;1;1;0;0;;DJNZ e;36;0;e;;;
;0x11;1;2;0;0;;LD DE,nn;64;0;DE;nn;;
;0x12;1;0;0;0;;LD (DE),A;70;1;(DE);A;;
;0x13;1;0;0;0;;INC DE;49;0;DE;;;
;0x14;1;0;0;0;;INC D;46;0;D;;;
;0x15;1;0;0;0;;DEC D;31;0;D;;;
;0x16;1;1;0;0;;LD D,n;59;0;D;n;;
;0x17;1;0;0;0;;RLA;104;0;;;;
;0x18;1;1;0;0;;JR e;57;0;e;;;
;0x19;1;0;0;0;;ADD HL,DE;10;0;HL;DE;;
;0x1A;1;0;0;0;;LD A,(DE);62;1;A;(DE);;
;0x1B;1;0;0;0;;DEC DE;34;0;DE;;;
;0x1C;1;0;0;0;;INC E;46;0;E;;;
;0x1D;1;0;0;0;;DEC E;31;0;E;;;
;0x1E;1;1;0;0;;LD E,n;59;0;E;n;;
;0x1F;1;0;0;0;;RRA;115;0;;;;
;0x20;1;1;0;0;;JR NZ,e;58;0;NZ;e;;
;0x21;1;2;0;0;;LD HL,nn;64;0;HL;nn;;
;0x22;1;2;0;0;;LD (nn),HL;68;0;(nn);HL;;
;0x23;1;0;0;0;;INC HL;49;0;HL;;;
;0x24;1;0;0;0;;INC H;46;0;H;;;
;0x25;1;0;0;0;;DEC H;31;0;H;;;
;0x26;1;1;0;0;;LD H,n;59;0;H;n;;
;0x27;1;0;0;0;;DAA;30;0;;;;
;0x28;1;1;0;0;;JR Z,e;58;0;Z;e;;
;0x29;1;0;0;0;;ADD HL,HL;10;0;HL;HL;;
;0x2A;1;2;0;0;;LD HL,(nn);66;0;HL;(nn);;
;0x2B;1;0;0;0;;DEC HL;34;0;HL;;;
;0x2C;1;0;0;0;;INC L;46;0;L;;;
;0x2D;1;0;0;0;;DEC L;31;0;L;;;
;0x2E;1;1;0;0;;LD L,n;59;0;L;n;;
;0x2F;1;0;0;0;;CPL;29;0;;;;
;0x30;1;1;0;0;;JR NC,e;58;0;NC;e;;
;0x31;1;2;0;0;;LD SP,nn;64;0;SP;nn;;
;0x32;1;2;0;0;;LD (nn),A;67;0;(nn);A;;
;0x33;1;0;0;0;;INC SP;49;0;SP;;;
;0x34;1;0;0;0;;INC (HL);47;0;(HL);;;
;0x35;1;0;0;0;;DEC (HL);32;0;(HL);;;
;0x36;1;1;0;0;;LD (HL),n;69;0;(HL);n;;
;0x37;1;0;0;0;;SCF;128;0;;;;
;0x38;1;1;0;0;;JR C,e;58;0;C;e;;
;0x39;1;0;0;0;;ADD HL,SP;10;0;HL;SP;;
;0x3A;1;2;0;0;;LD A,(nn);61;0;A;(nn);;
;0x3B;1;0;0;0;;DEC SP;34;0;SP;;;
;0x3C;1;0;0;0;;INC A;46;0;A;;;
;0x3D;1;0;0;0;;DEC A;31;0;A;;;
;0x3E;1;1;0;0;;LD A,n;59;0;A;n;;
;0x3F;1;0;0;0;;CCF;20;0;;;;
;0x40;1;0;0;0;;LD B,B;60;0;B;B;;
;0x41;1;0;0;0;;LD B,C;60;0;B;C;;
;0x42;1;0;0;0;;LD B,D;60;0;B;D;;
;0x43;1;0;0;0;;LD B,E;60;0;B;E;;
;0x44;1;0;0;0;;LD B,H;60;0;B;H;;
;0x45;1;0;0;0;;LD B,L;60;0;B;L;;
;0x46;1;0;0;0;;LD B,(HL);62;0;B;(HL);;
