prefix;opcode;opcode bytes;operand bytes;undocumented;fetch more opcode bytes;switch to table;mnemonic;instruction;param variant;param 1;param 2;param 3;duplicate
0xCB;0x00;2;0;0;0;;RLC B;105;0;B;;;
0xCB;0x01;2;0;0;0;;RLC C;105;0;C;;;
0xCB;0x02;2;0;0;0;;RLC D;105;0;D;;;
0xCB;0x03;2;0;0;0;;RLC E;105;0;E;;;
0xCB;0x04;2;0;0;0;;RLC H;105;0;H;;;
0xCB;0x05;2;0;0;0;;RLC L;105;0;L;;;
0xCB;0x06;2;0;0;0;;RLC (HL);106;0;(HL);;;
0xCB;0x07;2;0;0;0;;RLC A;105;0;A;;;
0xCB;0x08;2;0;0;0;;RRC B;116;0;B;;;
0xCB;0x09;2;0;0;0;;RRC C;116;0;C;;;
0xCB;0x0A;2;0;0;0;;RRC D;116;0;D;;;
0xCB;0x0B;2;0;0;0;;RRC E;116;0;E;;;
0xCB;0x0C;2;0;0;0;;RRC H;116;0;H;;;
0xCB;0x0D;2;0;0;0;;RRC L;116;0;L;;;
0xCB;0x0E;2;0;0;0;;RRC (HL);117;0;(HL);;;
0xCB;0x0F;2;0;0;0;;RRC A;116;0;A;;;
0xCB;0x10;2;0;0;0;;RL B;100;0;B;;;
0xCB;0x11;2;0;0;0;;RL C;100;0;C;;;
0xCB;0x12;2;0;0;0;;RL D;100;0;D;;;
0xCB;0x13;2;0;0;0;;RL E;100;0;E;;;
0xCB;0x14;2;0;0;0;;RL H;100;0;H;;;
0xCB;0x15;2;0;0;0;;RL L;100;0;L;;;
0xCB;0x16;2;0;0;0;;RL (HL);101;0;(HL);;;
0xCB;0x17;2;0;0;0;;RL A;100;0;A;;;
0xCB;0x18;2;0;0;0;;RR B;111;0;B;;;
0xCB;0x19;2;0;0;0;;RR C;111;0;C;;;
0xCB;0x1A;2;0;0;0;;RR D;111;0;D;;;
0xCB;0x1B;2;0;0;0;;RR E;111;0;E;;;
0xCB;0x1C;2;0;0;0;;RR H;111;0;H;;;
0xCB;0x1D;2;0;0;0;;RR L;111;0;L;;;
0xCB;0x1E;2;0;0;0;;RR (HL);112;0;(HL);;;
0xCB;0x1F;2;0;0;0;;RR A;111;0;A;;;
0xCB;0x20;2;0;0;0;;SLA B;133;0;B;;;
0xCB;0x21;2;0;0;0;;SLA C;133;0;C;;;
0xCB;0x22;2;0;0;0;;SLA D;133;0;D;;;
0xCB;0x23;2;0;0;0;;SLA E;133;0;E;;;
0xCB;0x24;2;0;0;0;;SLA H;133;0;H;;;
0xCB;0x25;2;0;0;0;;SLA L;133;0;L;;;
0xCB;0x26;2;0;0;0;;SLA (HL);134;0;(HL);;;
0xCB;0x27;2;0;0;0;;SLA A;133;0;A;;;
0xCB;0x28;2;0;0;0;;SRA B;141;0;B;;;
0xCB;0x29;2;0;0;0;;SRA C;141;0;C;;;
0xCB;0x2A;2;0;0;0;;SRA D;141;0;D;;;
0xCB;0x2B;2;0;0;0;;SRA E;141;0;E;;;
0xCB;0x2C;2;0;0;0;;SRA H;141;0;H;;;
0xCB;0x2D;2;0;0;0;;SRA L;141;0;L;;;
0xCB;0x2E;2;0;0;0;;SRA (HL);142;0;(HL);;;
0xCB;0x2F;2;0;0;0;;SRA A;141;0;A;;;
0xCB;0x30;2;0;1;0;;SLL B;137;0;B;;;
0xCB;0x31;2;0;1;0;;SLL C;137;0;C;;;
0xCB;0x32;2;0;1;0;;SLL D;137;0;D;;;
0xCB;0x33;2;0;1;0;;SLL E;137;0;E;;;
0xCB;0x34;2;0;1;0;;SLL H;137;0;H;;;
0xCB;0x35;2;0;1;0;;SLL L;137;0;L;;;
0xCB;0x36;2;0;1;0;;SLL (HL);138;0;(HL);;;
0xCB;0x37;2;0;1;0;;SLL A;137;0;A;;;
0xCB;0x38;2;0;0;0;;SRL B;145;0;B;;;
0xCB;0x39;2;0;0;0;;SRL C;145;0;C;;;
0xCB;0x3A;2;0;0;0;;SRL D;145;0;D;;;
0xCB;0x3B;2;0;0;0;;SRL E;145;0;E;;;
0xCB;0x3C;2;0;0;0;;SRL H;145;0;H;;;
0xCB;0x3D;2;0;0;0;;SRL L;145;0;L;;;
0xCB;0x3E;2;0;0;0;;SRL (HL);146;0;(HL);;;
0xCB;0x3F;2;0;0;0;;SRL A;145;0;A;;;
0xCB;0x40;2;0;0;0;;BIT 0,B;15;0;0;B;;
0xCB;0x41;2;0;0;0;;BIT 0,C;15;0;0;C;;
0xCB;0x42;2;0;0;0;;BIT 0,D;15;0;0;D;;
0xCB;0x43;2;0;0;0;;BIT 0,E;15;0;0;E;;
0xCB;0x44;2;0;0;0;;BIT 0,H;15;0;0;H;;
0xCB;0x45;2;0;0;0;;BIT 0,L;15;0;0;L;;
0xCB;0x46;2;0;0;0;;BIT 0,(HL);16;0;0;(HL);;
0xCB;0x47;2;0;0;0;;BIT 0,A;15;0;0;A;;
0xCB;0x48;2;0;0;0;;BIT 1,B;15;0;1;B;;
0xCB;0x49;2;0;0;0;;BIT 1,C;15;0;1;C;;
0xCB;0x4A;2;0;0;0;;BIT 1,D;15;0;1;D;;
0xCB;0x4B;2;0;0;0;;BIT 1,E;15;0;1;E;;
0xCB;0x4C;2;0;0;0;;BIT 1,H;15;0;1;H;;
0xCB;0x4D;2;0;0;0;;BIT 1,L;15;0;1;L;;
0xCB;0x4E;2;0;0;0;;BIT 1,(HL);16;0;1;(HL);;
0xCB;0x4F;2;0;0;0;;BIT 1,A;15;0;1;A;;
0xCB;0x50;2;0;0;0;;BIT 2,B;15;0;2;B;;
0xCB;0x51;2;0;0;0;;BIT 2,C;15;0;2;C;;
0xCB;0x52;2;0;0;0;;BIT 2,D;15;0;2;D;;
0xCB;0x53;2;0;0;0;;BIT 2,E;15;0;2;E;;
0xCB;0x54;2;0;0;0;;BIT 2,H;15;0;2;H;;
0xCB;0x55;2;0;0;0;;BIT 2,L;15;0;2;L;;
0xCB;0x56;2;0;0;0;;BIT 2,(HL);16;0;2;(HL);;
0xCB;0x57;2;0;0;0;;BIT 2,A;15;0;2;A;;
0xCB;0x58;2;0;0;0;;BIT 3,B;15;0;3;B;;
0xCB;0x59;2;0;0;0;;BIT 3,C;15;0;3;C;;
0xCB;0x5A;2;0;0;0;;BIT 3,D;15;0;3;D;;
0xCB;0x5B;2;0;0;0;;BIT 3,E;15;0;3;E;;
0xCB;0x5C;2;0;0;0;;BIT 3,H;15;0;3;H;;
0xCB;0x5D;2;0;0;0;;BIT 3,L;15;0;3;L;;
0xCB;0x5E;2;0;0;0;;BIT 3,(HL);16;0;3;(HL);;
0xCB;0x5F;2;0;0;0;;BIT 3,A;15;0;3;A;;
0xCB;0x60;2;0;0;0;;BIT 4,B;15;0;4;B;;
0xCB;0x61;2;0;0;0;;BIT 4,C;15;0;4;C;;
0xCB;0x62;2;0;0;0;;BIT 4,D;15;0;4;D;;
0xCB;0x63;2;0;0;0;;BIT 4,E;15;0;4;E;;
0xCB;0x64;2;0;0;0;;BIT 4,H;15;0;4;H;;
0xCB;0x65;2;0;0;0;;BIT 4,L;15;0;4;L;;
0xCB;0x66;2;0;0;0;;BIT 4,(HL);16;0;4;(HL);;
0xCB;0x67;2;0;0;0;;BIT 4,A;15;0;4;A;;
0xCB;0x68;2;0;0;0;;BIT 5,B;15;0;5;B;;
0xCB;0x69;2;0;0;0;;BIT 5,C;15;0;5;C;;
0xCB;0x6A;2;0;0;0;;BIT 5,D;15;0;5;D;;
0xCB;0x6B;2;0;0;0;;BIT 5,E;15;0;5;E;;
0xCB;0x6C;2;0;0;0;;BIT 5,H;15;0;5;H;;
0xCB;0x6D;2;0;0;0;;BIT 5,L;15;0;5;L;;
0xCB;0x6E;2;0;0;0;;BIT 5,(HL);16;0;5;(HL);;
0xCB;0x6F;2;0;0;0;;BIT 5,A;15;0;5;A;;
0xCB;0x70;2;0;0;0;;BIT 6,B;15;0;6;B;;
0xCB;0x71;2;0;0;0;;BIT 6,C;15;0;6;C;;
0xCB;0x72;2;0;0;0;;BIT 6,D;15;0;6;D;;
0xCB;0x73;2;0;0;0;;BIT 6,E;15;0;6;E;;
0xCB;0x74;2;0;0;0;;BIT 6,H;15;0;6;H;;
0xCB;0x75;2;0;0;0;;BIT 6,L;15;0;6;L;;
0xCB;0x76;2;0;0;0;;BIT 6,(HL);16;0;6;(HL);;
0xCB;0x77;2;0;0;0;;BIT 6,A;15;0;6;A;;
0xCB;0x78;2;0;0;0;;BIT 7,B;15;0;7;B;;
0xCB;0x79;2;0;0;0;;BIT 7,C;15;0;7;C;;
0xCB;0x7A;2;0;0;0;;BIT 7,D;15;0;7;D;;
0xCB;0x7B;2;0;0;0;;BIT 7,E;15;0;7;E;;
0xCB;0x7C;2;0;0;0;;BIT 7,H;15;0;7;H;;
0xCB;0x7D;2;0;0;0;;BIT 7,L;15;0;7;L;;
0xCB;0x7E;2;0;0;0;;BIT 7,(HL);16;0;7;(HL);;
0xCB;0x7F;2;0;0;0;;BIT 7,A;15;0;7;A;;
0xCB;0x80;2;0;0;0;;RES 0,B;92;0;0;B;;
0xCB;0x81;2;0;0;0;;RES 0,C;92;0;0;C;;
0xCB;0x82;2;0;0;0;;RES 0,D;92;0;0;D;;
0xCB;0x83;2;0;0;0;;RES 0,E;92;0;0;E;;
0xCB;0x84;2;0;0;0;;RES 0,H;92;0;0;H;;
0xCB;0x85;2;0;0;0;;RES 0,L;92;0;0;L;;
0xCB;0x86;2;0;0;0;;RES 0,(HL);93;0;0;(HL);;
0xCB;0x87;2;0;0;0;;RES 0,A;92;0;0;A;;
0xCB;0x88;2;0;0;0;;RES 1,B;92;0;1;B;;
0xCB;0x89;2;0;0;0;;RES 1,C;92;0;1;C;;
0xCB;0x8A;2;0;0;0;;RES 1,D;92;0;1;D;;
0xCB;0x8B;2;0;0;0;;RES 1,E;92;0;1;E;;
0xCB;0x8C;2;0;0;0;;RES 1,H;92;0;1;H;;
0xCB;0x8D;2;0;0;0;;RES 1,L;92;0;1;L;;
0xCB;0x8E;2;0;0;0;;RES 1,(HL);93;0;1;(HL);;
0xCB;0x8F;2;0;0;0;;RES 1,A;92;0;1;A;;
0xCB;0x90;2;0;0;0;;RES 2,B;92;0;2;B;;
