prefix;opcode;opcode bytes;operand bytes;undocumented;fetch more opcode bytes;switch to table;mnemonic;instruction;param variant;param 1;param 2;param 3;duplicate
0xDD;0x00;;;;0;0;;;;;;;
0xDD;0x01;;;;0;0;;;;;;;
0xDD;0x02;;;;0;0;;;;;;;
0xDD;0x03;;;;0;0;;;;;;;
0xDD;0x04;;;;0;0;;;;;;;
0xDD;0x05;;;;0;0;;;;;;;
0xDD;0x06;;;;0;0;;;;;;;
0xDD;0x07;;;;0;0;;;;;;;
0xDD;0x08;;;;0;0;;;;;;;
0xDD;0x09;2;0;0;0;;ADD IX,BC;10;1;IX;BC;;
0xDD;0x0A;;;;0;0;;;;;;;
0xDD;0x0B;;;;0;0;;;;;;;
0xDD;0x0C;;;;0;0;;;;;;;
0xDD;0x0D;;;;0;0;;;;;;;
0xDD;0x0E;;;;0;0;;;;;;;
0xDD;0x0F;;;;0;0;;;;;;;
0xDD;0x10;;;;0;0;;;;;;;
0xDD;0x11;;;;0;0;;;;;;;
0xDD;0x12;;;;0;0;;;;;;;
0xDD;0x13;;;;0;0;;;;;;;
0xDD;0x14;;;;0;0;;;;;;;
0xDD;0x15;;;;0;0;;;;;;;
0xDD;0x16;;;;0;0;;;;;;;
0xDD;0x17;;;;0;0;;;;;;;
0xDD;0x18;;;;0;0;;;;;;;
0xDD;0x19;2;0;0;0;;ADD IX,DE;10;1;IX;DE;;
0xDD;0x1A;;;;0;0;;;;;;;
0xDD;0x1B;;;;0;0;;;;;;;
0xDD;0x1C;;;;0;0;;;;;;;
0xDD;0x1D;;;;0;0;;;;;;;
0xDD;0x1E;;;;0;0;;;;;;;
0xDD;0x1F;;;;0;0;;;;;;;
0xDD;0x20;;;;0;0;;;;;;;
0xDD;0x21;2;2;0;0;;LD IX,nn;64;1;IX;nn;;
0xDD;0x22;2;2;0;0;;LD (nn),IX;68;1;(nn);IX;;
0xDD;0x23;2;0;0;0;;INC IX;49;1;IX;;;
0xDD;0x24;2;0;1;0;;INC IXh;46;1;IXh;;;
0xDD;0x25;2;0;1;0;;DEC IXh;31;1;IXh;;;
0xDD;0x26;2;1;1;0;;LD IXh,n;59;1;IXh;n;;
0xDD;0x27;;;;0;0;;;;;;;
0xDD;0x28;;;;0;0;;;;;;;
0xDD;0x29;2;0;0;0;;ADD IX,IX;10;1;IX;IX;;
0xDD;0x2A;2;2;0;0;;LD IX,(nn);66;1;IX;(nn);;
0xDD;0x2B;2;0;0;0;;DEC IX;34;1;IX;;;
0xDD;0x2C;2;0;1;0;;INC IXl;46;1;IXl;;;
0xDD;0x2D;2;0;1;0;;DEC IXl;31;1;IXl;;;
0xDD;0x2E;2;1;1;0;;LD IXl,n;59;1;IXl;n;;
0xDD;0x2F;;;;0;0;;;;;;;
0xDD;0x30;;;;0;0;;;;;;;
0xDD;0x31;;;;0;0;;;;;;;
0xDD;0x32;;;;0;0;;;;;;;
0xDD;0x33;;;;0;0;;;;;;;
0xDD;0x34;2;1;0;0;;INC (IX+d);48;0;(IX+d);;;
0xDD;0x35;2;1;0;0;;DEC (IX+d);33;0;(IX+d);;;
0xDD;0x36;2;2;0;0;;LD (IX+d),n;71;0;(IX+d);n;;
0xDD;0x37;;;;0;0;;;;;;;
0xDD;0x38;;;;0;0;;;;;;;
0xDD;0x39;2;0;0;0;;ADD IX,SP;10;1;IX;SP;;
0xDD;0x3A;;;;0;0;;;;;;;
0xDD;0x3B;;;;0;0;;;;;;;
0xDD;0x3C;;;;0;0;;;;;;;
0xDD;0x3D;;;;0;0;;;;;;;
0xDD;0x3E;;;;0;0;;;;;;;
0xDD;0x3F;;;;0;0;;;;;;;
0xDD;0x40;;;;0;0;;;;;;;
0xDD;0x41;;;;0;0;;;;;;;
0xDD;0x42;;;;0;0;;;;;;;
0xDD;0x43;;;;0;0;;;;;;;
0xDD;0x44;2;0;1;0;;LD B,IXh;60;1;B;IXh;;
0xDD;0x45;2;0;1;0;;LD B,IXl;60;1;B;IXl;;
0xDD;0x46;2;1;0;0;;LD B,(IX+d);63;0;B;(IX+d);;
0xDD;0x47;;;;0;0;;;;;;;
0xDD;0x48;;;;0;0;;;;;;;
0xDD;0x49;;;;0;0;;;;;;;
0xDD;0x4A;;;;0;0;;;;;;;
0xDD;0x4B;;;;0;0;;;;;;;
0xDD;0x4C;2;0;1;0;;LD C,IXh;60;1;C;IXh;;
0xDD;0x4D;2;0;1;0;;LD C,IXl;60;1;C;IXl;;
0xDD;0x4E;2;1;0;0;;LD C,(IX+d);63;0;C;(IX+d);;
0xDD;0x4F;;;;0;0;;;;;;;
0xDD;0x50;;;;0;0;;;;;;;
0xDD;0x51;;;;0;0;;;;;;;
0xDD;0x52;;;;0;0;;;;;;;
0xDD;0x53;;;;0;0;;;;;;;
0xDD;0x54;2;0;1;0;;LD D,IXh;60;1;D;IXh;;
0xDD;0x55;2;0;1;0;;LD D,IXl;60;1;D;IXl;;
0xDD;0x56;2;1;0;0;;LD D,(IX+d);63;0;D;(IX+d);;
0xDD;0x57;;;;0;0;;;;;;;
0xDD;0x58;;;;0;0;;;;;;;
0xDD;0x59;;;;0;0;;;;;;;
0xDD;0x5A;;;;0;0;;;;;;;
0xDD;0x5B;;;;0;0;;;;;;;
0xDD;0x5C;2;0;1;0;;LD E,IXh;60;1;E;IXh;;
0xDD;0x5D;2;0;1;0;;LD E,IXl;60;1;E;IXl;;
0xDD;0x5E;2;1;0;0;;LD E,(IX+d);63;0;E;(IX+d);;
0xDD;0x5F;;;;0;0;;;;;;;
0xDD;0x60;2;0;1;0;;LD IXh,B;60;2;IXh;B;;
0xDD;0x61;2;0;1;0;;LD IXh,C;60;2;IXh;C;;
0xDD;0x62;2;0;1;0;;LD IXh,D;60;2;IXh;D;;
0xDD;0x63;2;0;1;0;;LD IXh,E;60;2;IXh;E;;
0xDD;0x64;2;0;1;0;;LD IXh,IXh;60;3;IXh;IXh;;
0xDD;0x65;2;0;1;0;;LD IXh,IXl;60;3;IXh;IXl;;
0xDD;0x66;2;1;0;0;;LD H,(IX+d);63;0;H;(IX+d);;
0xDD;0x67;2;0;1;0;;LD IXh,A;60;2;IXh;A;;
0xDD;0x68;2;0;1;0;;LD IXl,B;60;2;IXl;B;;
0xDD;0x69;2;0;1;0;;LD IXl,C;60;2;IXl;C;;
