prefix;opcode;opcode bytes;operand bytes;undocumented;fetch more opcode bytes;switch to table;mnemonic;instruction;param variant;param 1;param 2;param 3;duplicate
0xED;0x00;2;0;1;0;;NOP;78;1;;;;1
0xED;0x01;2;0;1;0;;NOP;78;1;;;;1
0xED;0x02;2;0;1;0;;NOP;78;1;;;;1
0xED;0x03;2;0;1;0;;NOP;78;1;;;;1
0xED;0x04;2;0;1;0;;NOP;78;1;;;;1
0xED;0x05;2;0;1;0;;NOP;78;1;;;;1
0xED;0x06;2;0;1;0;;NOP;78;1;;;;1
0xED;0x07;2;0;1;0;;NOP;78;1;;;;1
0xED;0x08;2;0;1;0;;NOP;78;1;;;;1
0xED;0x09;2;0;1;0;;NOP;78;1;;;;1
0xED;0x0A;2;0;1;0;;NOP;78;1;;;;1
0xED;0x0B;2;0;1;0;;NOP;78;1;;;;1
0xED;0x0C;2;0;1;0;;NOP;78;1;;;;1
0xED;0x0D;2;0;1;0;;NOP;78;1;;;;1
0xED;0x0E;2;0;1;0;;NOP;78;1;;;;1
0xED;0x0F;2;0;1;0;;NOP;78;1;;;;1
0xED;0x10;2;0;1;0;;NOP;78;1;;;;1
0xED;0x11;2;0;1;0;;NOP;78;1;;;;1
0xED;0x12;2;0;1;0;;NOP;78;1;;;;1
0xED;0x13;2;0;1;0;;NOP;78;1;;;;1
0xED;0x14;2;0;1;0;;NOP;78;1;;;;1
0xED;0x15;2;0;1;0;;NOP;78;1;;;;1
0xED;0x16;2;0;1;0;;NOP;78;1;;;;1
0xED;0x17;2;0;1;0;;NOP;78;1;;;;1
0xED;0x18;2;0;1;0;;NOP;78;1;;;;1
0xED;0x19;2;0;1;0;;NOP;78;1;;;;1
0xED;0x1A;2;0;1;0;;NOP;78;1;;;;1
0xED;0x1B;2;0;1;0;;NOP;78;1;;;;1
0xED;0x1C;2;0;1;0;;NOP;78;1;;;;1
0xED;0x1D;2;0;1;0;;NOP;78;1;;;;1
0xED;0x1E;2;0;1;0;;NOP;78;1;;;;1
0xED;0x1F;2;0;1;0;;NOP;78;1;;;;1
0xED;0x20;2;0;1;0;;NOP;78;1;;;;1
0xED;0x21;2;0;1;0;;NOP;78;1;;;;1
0xED;0x22;2;0;1;0;;NOP;78;1;;;;1
0xED;0x23;2;0;1;0;;NOP;78;1;;;;1
0xED;0x24;2;0;1;0;;NOP;78;1;;;;1
0xED;0x25;2;0;1;0;;NOP;78;1;;;;1
0xED;0x26;2;0;1;0;;NOP;78;1;;;;1
0xED;0x27;2;0;1;0;;NOP;78;1;;;;1
0xED;0x28;2;0;1;0;;NOP;78;1;;;;1
0xED;0x29;2;0;1;0;;NOP;78;1;;;;1
0xED;0x2A;2;0;1;0;;NOP;78;1;;;;1
0xED;0x2B;2;0;1;0;;NOP;78;1;;;;1
0xED;0x2C;2;0;1;0;;NOP;78;1;;;;1
0xED;0x2D;2;0;1;0;;NOP;78;1;;;;1
0xED;0x2E;2;0;1;0;;NOP;78;1;;;;1
0xED;0x2F;2;0;1;0;;NOP;78;1;;;;1
0xED;0x30;2;0;1;0;;NOP;78;1;;;;1
0xED;0x31;2;0;1;0;;NOP;78;1;;;;1
0xED;0x32;2;0;1;0;;NOP;78;1;;;;1
0xED;0x33;2;0;1;0;;NOP;78;1;;;;1
0xED;0x34;2;0;1;0;;NOP;78;1;;;;1
0xED;0x35;2;0;1;0;;NOP;78;1;;;;1
0xED;0x36;2;0;1;0;;NOP;78;1;;;;1
0xED;0x37;2;0;1;0;;NOP;78;1;;;;1
0xED;0x38;2;0;1;0;;NOP;78;1;;;;1
0xED;0x39;2;0;1;0;;NOP;78;1;;;;1
0xED;0x3A;2;0;1;0;;NOP;78;1;;;;1
0xED;0x3B;2;0;1;0;;NOP;78;1;;;;1
0xED;0x3C;2;0;1;0;;NOP;78;1;;;;1
0xED;0x3D;2;0;1;0;;NOP;78;1;;;;1
0xED;0x3E;2;0;1;0;;NOP;78;1;;;;1
0xED;0x3F;2;0;1;0;;NOP;78;1;;;;1
0xED;0x40;2;0;0;0;;IN B,(C);44;0;B;(C);;
0xED;0x41;2;0;0;0;;OUT (C),B;87;0;(C);B;;
0xED;0x42;2;0;0;0;;SBC HL,BC;127;0;HL;BC;;
0xED;0x43;2;2;0;0;;LD (nn),BC;68;1;(nn);BC;;
0xED;0x44;2;0;0;0;;NEG;77;0;;;;
0xED;0x45;2;0;0;0;;RETN;99;0;;;;
0xED;0x46;2;0;0;0;;IM 0;42;0;0;;;
0xED;0x47;2;0;0;0;;LD I,A;60;6;I;A;;
0xED;0x48;2;0;0;0;;IN C,(C);44;0;C;(C);;
0xED;0x49;2;0;0;0;;OUT (C),C;87;0;(C);C;;
0xED;0x4A;2;0;0;0;;ADC HL,BC;5;0;HL;BC;;
0xED;0x4B;2;2;0;0;;LD BC,(nn);66;1;BC;(nn);;
0xED;0x4C;2;0;1;0;;NEG;77;0;;;;1
0xED;0x4D;2;0;0;0;;RETI;98;0;;;;
0xED;0x4E;2;0;1;0;;IM 0;42;0;0;;;1
0xED;0x4F;2;0;0;0;;LD R,A;60;6;R;A;;
0xED;0x50;2;0;0;0;;IN D,(C);44;0;D;(C);;
0xED;0x51;2;0;0;0;;OUT (C),D;87;0;(C);D;;
0xED;0x52;2;0;0;0;;SBC HL,DE;127;0;HL;DE;;
0xED;0x53;2;2;0;0;;LD (nn),DE;68;1;(nn);DE;;
0xED;0x54;2;0;1;0;;NEG;77;0;;;;1
0xED;0x55;2;0;1;0;;RETN;99;0;;;;1
