prefix;opcode;opcode bytes;operand bytes;undocumented;fetch more opcode bytes;switch to table;mnemonic;instruction;param variant;param 1;param 2;param 3;duplicate
0xDDCB;0x00;3;1;1;0;;RLC (IX+d),B;108;0;(IX+d);B;;
0xDDCB;0x01;3;1;1;0;;RLC (IX+d),C;108;0;(IX+d);C;;
0xDDCB;0x02;3;1;1;0;;RLC (IX+d),D;108;0;(IX+d);D;;
0xDDCB;0x03;3;1;1;0;;RLC (IX+d),E;108;0;(IX+d);E;;
0xDDCB;0x04;3;1;1;0;;RLC (IX+d),H;108;0;(IX+d);H;;
0xDDCB;0x05;3;1;1;0;;RLC (IX+d),L;108;0;(IX+d);L;;
0xDDCB;0x06;3;1;0;0;;RLC (IX+d);107;0;(IX+d);;;
0xDDCB;0x07;3;1;1;0;;RLC (IX+d),A;108;0;(IX+d);A;;
0xDDCB;0x08;3;1;1;0;;RRC (IX+d),B;119;0;(IX+d);B;;
0xDDCB;0x09;3;1;1;0;;RRC (IX+d),C;119;0;(IX+d);C;;
0xDDCB;0x0A;3;1;1;0;;RRC (IX+d),D;119;0;(IX+d);D;;
0xDDCB;0x0B;3;1;1;0;;RRC (IX+d),E;119;0;(IX+d);E;;
0xDDCB;0x0C;3;1;1;0;;RRC (IX+d),H;119;0;(IX+d);H;;
0xDDCB;0x0D;3;1;1;0;;RRC (IX+d),L;119;0;(IX+d);L;;
0xDDCB;0x0E;3;1;0;0;;RRC (IX+d);118;0;(IX+d);;;
0xDDCB;0x0F;3;1;1;0;;RRC (IX+d),A;119;0;(IX+d);A;;
0xDDCB;0x10;3;1;1;0;;RL (IX+d),B;103;0;(IX+d);B;;
0xDDCB;0x11;3;1;1;0;;RL (IX+d),C;103;0;(IX+d);C;;
0xDDCB;0x12;3;1;1;0;;RL (IX+d),D;103;0;(IX+d);D;;
0xDDCB;0x13;3;1;1;0;;RL (IX+d),E;103;0;(IX+d);E;;
0xDDCB;0x14;3;1;1;0;;RL (IX+d),H;103;0;(IX+d);H;;
0xDDCB;0x15;3;1;1;0;;RL (IX+d),L;103;0;(IX+d);L;;
0xDDCB;0x16;3;1;0;0;;RL (IX+d);102;0;(IX+d);;;
0xDDCB;0x17;3;1;1;0;;RL (IX+d),A;103;0;(IX+d);A;;
0xDDCB;0x18;3;1;1;0;;RR (IX+d),B;114;0;(IX+d);B;;
0xDDCB;0x19;3;1;1;0;;RR (IX+d),C;114;0;(IX+d);C;;
0xDDCB;0x1A;3;1;1;0;;RR (IX+d),D;114;0;(IX+d);D;;
0xDDCB;0x1B;3;1;1;0;;RR (IX+d),E;114;0;(IX+d);E;;
0xDDCB;0x1C;3;1;1;0;;RR (IX+d),H;114;0;(IX+d);H;;
0xDDCB;0x1D;3;1;1;0;;RR (IX+d),L;114;0;(IX+d);L;;
0xDDCB;0x1E;3;1;0;0;;RR (IX+d);113;0;(IX+d);;;
0xDDCB;0x1F;3;1;1;0;;RR (IX+d),A;114;0;(IX+d);A;;
0xDDCB;0x20;3;1;1;0;;SLA (IX+d),B;136;0;(IX+d);B;;
0xDDCB;0x21;3;1;1;0;;SLA (IX+d),C;136;0;(IX+d);C;;
0xDDCB;0x22;3;1;1;0;;SLA (IX+d),D;136;0;(IX+d);D;;
0xDDCB;0x23;3;1;1;0;;SLA (IX+d),E;136;0;(IX+d);E;;
0xDDCB;0x24;3;1;1;0;;SLA (IX+d),H;136;0;(IX+d);H;;
0xDDCB;0x25;3;1;1;0;;SLA (IX+d),L;136;0;(IX+d);L;;
0xDDCB;0x26;3;1;0;0;;SLA (IX+d);135;0;(IX+d);;;
0xDDCB;0x27;3;1;1;0;;SLA (IX+d),A;136;0;(IX+d);A;;
0xDDCB;0x28;3;1;1;0;;SRA (IX+d),B;144;0;(IX+d);B;;
0xDDCB;0x29;3;1;1;0;;SRA (IX+d),C;144;0;(IX+d);C;;
0xDDCB;0x2A;3;1;1;0;;SRA (IX+d),D;144;0;(IX+d);D;;
0xDDCB;0x2B;3;1;1;0;;SRA (IX+d),E;144;0;(IX+d);E;;
0xDDCB;0x2C;3;1;1;0;;SRA (IX+d),H;144;0;(IX+d);H;;
0xDDCB;0x2D;3;1;1;0;;SRA (IX+d),L;144;0;(IX+d);L;;
