prefix;opcode;opcode bytes;operand bytes;undocumented;fetch more opcode bytes;switch to table;mnemonic;instruction;param variant;param 1;param 2;param 3;duplicate;;;;
0xFDCB;0x00;3;1;1;0;;RLC (IY+d),B;108;0;(IY+d);B;;;;;;
0xFDCB;0x01;3;1;1;0;;RLC (IY+d),C;108;0;(IY+d);C;;;;;;
0xFDCB;0x02;3;1;1;0;;RLC (IY+d),D;108;0;(IY+d);D;;;;;;
0xFDCB;0x03;3;1;1;0;;RLC (IY+d),E;108;0;(IY+d);E;;;;;;
0xFDCB;0x04;3;1;1;0;;RLC (IY+d),H;108;0;(IY+d);H;;;;;;
0xFDCB;0x05;3;1;1;0;;RLC (IY+d),L;108;0;(IY+d);L;;;;;;
0xFDCB;0x06;3;1;0;0;;RLC (IY+d);107;0;(IY+d);;;;;;;
0xFDCB;0x07;3;1;1;0;;RLC (IY+d),A;108;0;(IY+d);A;;;;;;
0xFDCB;0x08;3;1;1;0;;RRC (IY+d),B;119;0;(IY+d);B;;;;;;
0xFDCB;0x09;3;1;1;0;;RRC (IY+d),C;119;0;(IY+d);C;;;;;;
0xFDCB;0x0A;3;1;1;0;;RRC (IY+d),D;119;0;(IY+d);D;;;;;;
0xFDCB;0x0B;3;1;1;0;;RRC (IY+d),E;119;0;(IY+d);E;;;;;;
0xFDCB;0x0C;3;1;1;0;;RRC (IY+d),H;119;0;(IY+d);H;;;;;;
0xFDCB;0x0D;3;1;1;0;;RRC (IY+d),L;119;0;(IY+d);L;;;;;;
0xFDCB;0x0E;3;1;0;0;;RRC (IY+d);118;0;(IY+d);;;;;;;
0xFDCB;0x0F;3;1;1;0;;RRC (IY+d),A;119;0;(IY+d);A;;;;;;
0xFDCB;0x10;3;1;1;0;;RL (IY+d),B;103;0;(IY+d);B;;;;;;
0xFDCB;0x11;3;1;1;0;;RL (IY+d),C;103;0;(IY+d);C;;;;;;
0xFDCB;0x12;3;1;1;0;;RL (IY+d),D;103;0;(IY+d);D;;;;;;
0xFDCB;0x13;3;1;1;0;;RL (IY+d),E;103;0;(IY+d);E;;;;;;
0xFDCB;0x14;3;1;1;0;;RL (IY+d),H;103;0;(IY+d);H;;;;;;
0xFDCB;0x15;3;1;1;0;;RL (IY+d),L;103;0;(IY+d);L;;;;;;
0xFDCB;0x16;3;1;0;0;;RL (IY+d);102;0;(IY+d);;;;;;;
0xFDCB;0x17;3;1;1;0;;RL (IY+d),A;103;0;(IY+d);A;;;;;;
0xFDCB;0x18;3;1;1;0;;RR (IY+d),B;114;0;(IY+d);B;;;;;;
0xFDCB;0x19;3;1;1;0;;RR (IY+d),C;114;0;(IY+d);C;;;;;;
0xFDCB;0x1A;3;1;1;0;;RR (IY+d),D;114;0;(IY+d);D;;;;;;
0xFDCB;0x1B;3;1;1;0;;RR (IY+d),E;114;0;(IY+d);E;;;;;;
0xFDCB;0x1C;3;1;1;0;;RR (IY+d),H;114;0;(IY+d);H;;;;;;
0xFDCB;0x1D;3;1;1;0;;RR (IY+d),L;114;0;(IY+d);L;;;;;;
0xFDCB;0x1E;3;1;0;0;;RR (IY+d);113;0;(IY+d);;;;;;;
0xFDCB;0x1F;3;1;1;0;;RR (IY+d),A;114;0;(IY+d);A;;;;;;
0xFDCB;0x20;3;1;1;0;;SLA (IY+d),B;136;0;(IY+d);B;;;;;;
0xFDCB;0x21;3;1;1;0;;SLA (IY+d),C;136;0;(IY+d);C;;;;;;
